Method	IntegrationMethod	Type	Mean	SD	Integration
scanpy-Pearson	staligner	Clustering	0.5644537819538814	0.10459389343330654	STAligner
scanpy-Pearson	staligner	Integration	0.46870448900991624	0.20344988870431313	STAligner
scanpy-Pearson	staligner	Overall	0.5543713062527871	0.1862330107386263	STAligner
scanpy-Pearson (batch)	cellcharter	Alignment	0.83509449672231	0.12293431545545323	Cell
Charter
scanpy-Pearson (batch)	cellcharter	Clustering	0.6609410352196714	0.1295793881545348	Cell
Charter
scanpy-Pearson (batch)	cellcharter	Integration	0.6055861145371243	0.2740140272932234	Cell
Charter
scanpy-Pearson (batch)	cellcharter	Overall	0.747980996348028	0.1125325424281841	Cell
Charter
scanpy-Pearson (batch)	gpsa	Alignment	0.522423062297988	0.09156586739134952	GPSA
scanpy-Pearson (batch)	gpsa	Clustering	0.015427170955151875	0.015227080991815306	GPSA
