dataset	fs_method	n_features	integration_method	task	metric_name	ValueMeanRaw	ValueSDRaw	OrientedMean	OrientedSD	NSeeds	EffectiveFeaturesMin	EffectiveFeaturesMax	RuntimeMean
DLPFC	Brennecke	5000	scvi	clustering_eval	PAS	0.356		-0.356		1	5000	5000	87.9092421765
DLPFC	Brennecke	5000	scvi	clustering_eval	ari	0.2187222355		0.2187222355		1	5000	5000	87.9092421765
DLPFC	Brennecke	5000	scvi	clustering_eval	nmi	0.3259575635		0.3259575635		1	5000	5000	87.9092421765
DLPFC	Brennecke	5000	scvi	clustering_eval	silhouette	0.3131629527		0.3131629527		1	5000	5000	87.9092421765
DLPFC	Brennecke	5000	scvi	integration_eval	GC	0.8047675055		0.8047675055		1	5000	5000	89.8277670685
DLPFC	Brennecke	5000	scvi	integration_eval	ILL	0.4185739451		0.4185739451		1	5000	5000	89.8277670685
DLPFC	Brennecke	5000	scvi	integration_eval	bASW	0.9399949517		0.9399949517		1	5000	5000	89.8277670685
DLPFC	Brennecke	5000	scvi	integration_eval	dASW	0.4943153542		0.4943153542		1	5000	5000	89.8277670685
DLPFC	Brennecke	5000	scvi	integration_eval	dLISI	0.8220659883		0.8220659883		1	5000	5000	89.8277670685
DLPFC	Brennecke	5000	scvi	integration_eval	iLISI	0.4871272503		0.4871272503		1	5000	5000	89.8277670685
DLPFC	TFs	2000	cellcharter	alignment_eval	Accuracy	0.5211333333333333	0.004523641600893423	0.5211333333333333	0.004523641600893423	3	1462	1462	35.82781275203333
DLPFC	TFs	2000	cellcharter	alignment_eval	Ratio	1.3882644224333334	0.023489101053506007	-1.3882644224333334	0.023489101053506007	3	1462	1462	35.82781275203333
DLPFC	TFs	2000	cellcharter	clustering_eval	CHAOS	0.06495617486666666	0.002343296755160695	-0.06495617486666666	0.002343296755160695	3	1462	1462	36.152403589933336
DLPFC	TFs	2000	cellcharter	clustering_eval	PAS	0.23491666666666666	0.09723278913307601	-0.23491666666666666	0.09723278913307601	3	1462	1462	36.152403589933336
DLPFC	TFs	2000	cellcharter	clustering_eval	ari	0.22719927709999999	0.020755366865319758	0.22719927709999999	0.020755366865319758	3	1462	1462	36.152403589933336
