Dataset	Platform	NSlices	Method	MethodBase	SelFeatures	Integration	IntegrationLabel	Task	TaskLabel	Type	Metric	MetricName	Value	ValueRaw	HigherBetter	Seed	Runtime	EffectiveFeatures	Notes
DLPFC	Visium	4	TFs-N100	TFs	100	cellcharter	CellCharter	clustering_eval	Clustering	Clustering	PAS	PAS	-0.7743978802	0.7743978802	False	0	184.8999163192	100	cache_signature=c938a1e6d6db8eced51566cd9b88ecfb
DLPFC	Visium	4	TFs-N100	TFs	100	cellcharter	CellCharter	integration_eval	Integration	Integration	bASW	bASW	0.9663492109	0.9663492109	True	0	187.894491706	100	cache_signature=7690b4368fa671205b963e7b1d93bb7d
DLPFC	Visium	4	TFs-N100	TFs	100	cellcharter	CellCharter	integration_eval	Integration	Integration	iLISI	iLISI	0.4227625784	0.4227625784	True	0	187.894491706	100	cache_signature=7690b4368fa671205b963e7b1d93bb7d
DLPFC	Visium	4	TFs-N100	TFs	100	cellcharter	CellCharter	integration_eval	Integration	Integration	dASW	dASW	0.4812050723	0.4812050723	True	0	187.894491706	100	cache_signature=7690b4368fa671205b963e7b1d93bb7d
DLPFC	Visium	4	TFs-N100	TFs	100	cellcharter	CellCharter	integration_eval	Integration	Integration	dLISI	dLISI	0.662467547	0.662467547	True	0	187.894491706	100	cache_signature=7690b4368fa671205b963e7b1d93bb7d
DLPFC	Visium	4	TFs-N100	TFs	100	cellcharter	CellCharter	integration_eval	Integration	Integration	ILL	ILL	0.2574552416	0.2574552416	True	0	187.894491706	100	cache_signature=7690b4368fa671205b963e7b1d93bb7d
DLPFC	Visium	4	TFs-N100	TFs	100	cellcharter	CellCharter	integration_eval	Integration	Integration	GC	GC	0.8084900765	0.8084900765	True	0	187.894491706	100	cache_signature=7690b4368fa671205b963e7b1d93bb7d
DLPFC	Visium	4	TFs-N1000	TFs	1000	cellcharter	CellCharter	alignment_eval	Alignment	Alignment	Accuracy	Accuracy	0.4486935479	0.4486935479	True	0	203.0835115667	1000	cache_signature=9cf13da27a4d49c26737bcbc17e35172
DLPFC	Visium	4	TFs-N1000	TFs	1000	cellcharter	CellCharter	alignment_eval	Alignment	Alignment	Ratio	Ratio	-1.4886365085	1.4886365085	False	0	203.0835115667	1000	cache_signature=9cf13da27a4d49c26737bcbc17e35172
DLPFC	Visium	4	TFs-N1000	TFs	1000	cellcharter	CellCharter	clustering_eval	Clustering	Clustering	silhouette	Silhouette	0.0204685871	0.0204685871	True	0	210.2129624113	1000	cache_signature=2f3aab98d8d0f08cb0ee315f64b01b89
