dataset	fs_method	n_features	integration_method	Dataset	Integrator	Task	SeedSD	NSeeds
STOmics0218	seurat_sct	2000	scvi	STOmics-0218	scVI	Clustering	0.014513717904303712	3
STOmics0218	seurat_sct	2000	scvi	STOmics-0218	scVI	Core overall	0.0030986119890328134	3
STOmics0218	seurat_sct	2000	scvi	STOmics-0218	scVI	Integration	0.014546153030083293	3
STOmics0218	seurat_vst	2000	cellcharter	STOmics-0218	CellCharter	Clustering	0.0262374386039664	3
STOmics0218	seurat_vst	2000	cellcharter	STOmics-0218	CellCharter	Core overall	0.011425754648422791	3
STOmics0218	seurat_vst	2000	cellcharter	STOmics-0218	CellCharter	Integration	0.008136428659523454	3
STOmics0218	seurat_vst	2000	scvi	STOmics-0218	scVI	Clustering	0.018987076588840305	3
STOmics0218	seurat_vst	2000	scvi	STOmics-0218	scVI	Core overall	0.012094737597338711	3
STOmics0218	seurat_vst	2000	scvi	STOmics-0218	scVI	Integration	0.007251549895105154	3
STOmics0218	singleCellHaystack	2000	cellcharter	STOmics-0218	CellCharter	Clustering	0.014138202030029195	3
STOmics0218	singleCellHaystack	2000	cellcharter	STOmics-0218	CellCharter	Core overall	0.005173265226772242	3
STOmics0218	singleCellHaystack	2000	cellcharter	STOmics-0218	CellCharter	Integration	0.005995862786064823	3
STOmics0218	singleCellHaystack	2000	scvi	STOmics-0218	scVI	Clustering	0.035219030057967775	3
STOmics0218	singleCellHaystack	2000	scvi	STOmics-0218	scVI	Core overall	0.021071027414299982	3
STOmics0218	singleCellHaystack	2000	scvi	STOmics-0218	scVI	Integration	0.007416235096113552	3
STOmics0218	somde	2000	cellcharter	STOmics-0218	CellCharter	Clustering	0.021699730747522163	3
STOmics0218	somde	2000	cellcharter	STOmics-0218	CellCharter	Core overall	0.010139948793062934	3
STOmics0218	somde	2000	cellcharter	STOmics-0218	CellCharter	Integration	0.008134107863300316	3
STOmics0218	somde	2000	scvi	STOmics-0218	scVI	Clustering	0.02962349305436864	3
STOmics0218	somde	2000	scvi	STOmics-0218	scVI	Core overall	0.015438023394133363	3
STOmics0218	somde	2000	scvi	STOmics-0218	scVI	Integration	0.0022881688691210214	3
STOmics0218	sparkx	2000	cellcharter	STOmics-0218	CellCharter	Clustering	0.013699265888110952	3
STOmics0218	sparkx	2000	cellcharter	STOmics-0218	CellCharter	Core overall	0.0058907815616345074	3
STOmics0218	sparkx	2000	cellcharter	STOmics-0218	CellCharter	Integration	0.002211753940651697	3
STOmics0218	sparkx	2000	scvi	STOmics-0218	scVI	Clustering	0.012492794992263688	3
STOmics0218	sparkx	2000	scvi	STOmics-0218	scVI	Core overall	0.011134768565327916	3
STOmics0218	sparkx	2000	scvi	STOmics-0218	scVI	Integration	0.012484317036017423	3
STOmics0218	spatialde	2000	cellcharter	STOmics-0218	CellCharter	Clustering	0.008947213306178167	3
STOmics0218	spatialde	2000	cellcharter	STOmics-0218	CellCharter	Core overall	0.006636363856192913	3
STOmics0218	spatialde	2000	cellcharter	STOmics-0218	CellCharter	Integration	0.004388618941604309	3
STOmics0218	spatialde	2000	scvi	STOmics-0218	scVI	Clustering	0.03037524728405	3
STOmics0218	spatialde	2000	scvi	STOmics-0218	scVI	Core overall	0.013122387169294855	3
STOmics0218	spatialde	2000	scvi	STOmics-0218	scVI	Integration	0.006327212171287526	3
STOmics0218	statistic_mean	2000	cellcharter	STOmics-0218	CellCharter	Clustering	0.008904453417683962	3
STOmics0218	statistic_mean	2000	cellcharter	STOmics-0218	CellCharter	Core overall	0.006915923630042767	3
STOmics0218	statistic_mean	2000	cellcharter	STOmics-0218	CellCharter	Integration	0.0052311306789816605	3
STOmics0218	statistic_mean	2000	scvi	STOmics-0218	scVI	Clustering	0.00535994683530598	3
STOmics0218	statistic_mean	2000	scvi	STOmics-0218	scVI	Core overall	0.0011471005406896442	3
