fs_method	integration_method	task	NRuns	RuntimeMedianSeconds	RuntimeIQRSeconds	RuntimeMaximumSeconds	PeakMemoryMedianGiB	PeakMemoryMaximumGiB
somde	scvi	integration_eval	63	24.3109091027	24.249296396949998	204.760321375	7.48663330078125	42.06159591674805
sparkx	cellcharter	alignment_eval	18	42.55864788405	91.6480354757	269.5597205311	6.938371658325195	11.838584899902344
sparkx	cellcharter	clustering_eval	63	45.2596768159	48.786303243099994	269.882788972	6.390110015869141	39.02212142944336
sparkx	cellcharter	integration_eval	63	46.6283717658	48.668413676300005	272.3139809743	6.390110015869141	39.02212142944336
sparkx	scvi	alignment_eval	18	24.752553577999997	90.08417433475	234.3172092317	6.580326080322266	10.64065933227539
sparkx	scvi	clustering_eval	63	26.2226667199	46.600380211150004	235.1391779538	6.390110015869141	36.60520553588867
sparkx	scvi	integration_eval	63	27.4663761193	46.154785702000005	236.8301366363	6.390110015869141	36.60520553588867
spatialde	cellcharter	alignment_eval	18	37.1140391161	69.42574384297501	240.6538530961	6.166105270385742	10.166297912597656
spatialde	cellcharter	clustering_eval	63	41.64599114	31.73988568784999	240.9036488766	6.282379150390625	29.838409423828125
spatialde	cellcharter	integration_eval	63	42.7840276444	32.06189867665	243.0196672007	6.282379150390625	29.838409423828125
spatialde	scvi	alignment_eval	18	19.636020232950003	65.744187066375	215.0752369314	5.957803726196289	10.166297912597656
spatialde	scvi	clustering_eval	63	23.6323984927	27.282589957600003	215.8876780747	6.038337707519531	27.621139526367188
spatialde	scvi	integration_eval	63	25.2575013647	27.212087559999997	217.6680393042	6.038337707519531	27.621139526367188
statistic_mean	cellcharter	alignment_eval	18	51.6020702906	96.17011615075	454.1261529159	22.10277557373047	34.36963653564453
statistic_mean	cellcharter	clustering_eval	63	49.5027310476	52.13022154385	455.789440535	19.415077209472656	57.64524459838867
statistic_mean	cellcharter	integration_eval	63	51.3743495578	52.994431955699994	458.8588956604	19.415077209472656	57.64524459838867
statistic_mean	scvi	alignment_eval	18	28.1816395568	93.9165244959	254.96307893	22.10277557373047	34.131309509277344
statistic_mean	scvi	clustering_eval	63	29.4795399383	48.7959615588	256.5831182869	19.237171173095703	57.64524459838867
statistic_mean	scvi	integration_eval	63	30.5710361078	50.04707501925	258.8623466156	19.237171173095703	57.64524459838867
statistic_variance	cellcharter	alignment_eval	18	44.4779309779	77.403191033275	293.9141891729	22.10277557373047	35.583030700683594
statistic_variance	cellcharter	clustering_eval	63	48.1271996433	56.724756617099985	294.3120730165	20.72333526611328	59.24211883544922
statistic_variance	cellcharter	integration_eval	63	50.7705970397	55.70335510235	297.1919839839	21.321025848388672	59.24211883544922
statistic_variance	scvi	alignment_eval	18	32.584584558399996	92.92367845027499	257.8680229438	22.10277557373047	35.583030700683594
statistic_variance	scvi	clustering_eval	63	31.0335258041	50.227418021300004	258.745849397	20.804241180419922	59.24211883544922
statistic_variance	scvi	integration_eval	63	31.9236103706	50.2289450728	260.641079613	20.804241180419922	59.24211883544922
triku	cellcharter	alignment_eval	18	92.47203667414999	31.60174787439999	217.1587798279	21.05475616455078	28.215450286865234
triku	cellcharter	clustering_eval	63	85.394737564	47.06079123080001	217.4004750429	16.764251708984375	57.64524459838867
triku	cellcharter	integration_eval	63	87.6055129571	47.710666178699995	220.2529884856	16.764251708984375	57.64524459838867
triku	scvi	alignment_eval	18	74.2778209639	32.12224880375	192.6127965199	21.05475616455078	28.215450286865234
triku	scvi	clustering_eval	63	66.1152051138	34.64469697465002	193.4809181439	16.764251708984375	57.64524459838867
triku	scvi	integration_eval	63	67.7974323295	35.59193227020001	195.2587991012	16.764251708984375	57.64524459838867
wilcoxon	cellcharter	alignment_eval	18	100.24802424805	159.933979389525	412.6362801362	22.113521575927734	35.583030700683594
wilcoxon	cellcharter	clustering_eval	45	104.9233670393	379.72552365440004	803.6201760108	22.290782928466797	60.4996337890625
wilcoxon	cellcharter	integration_eval	45	105.0510181747	382.3448279286	806.9208286973	22.290016174316406	60.4996337890625
wilcoxon	scvi	alignment_eval	18	82.4564819727	156.775444023775	393.8573804982	22.113521575927734	35.583030700683594
wilcoxon	scvi	clustering_eval	45	89.8264235826	354.4182985862	785.6827451503	22.144145965576172	60.4996337890625
wilcoxon	scvi	integration_eval	45	90.3401379585	355.79465913120004	788.8167033931	22.144145965576172	60.4996337890625
