Method	Type	SelFeatures	Value	SD	StandardValue
Seurat-VST	Overall	500	0.6458941151428628	0.8500315541432165	0.18461067001626763
Seurat-VST	Overall	1000	0.6562909909835798	0.5113186739239656	0.6148635346486577
Seurat-VST	Overall	2000	0.6535554889969767	0.41084092572270353	0.5724727551700886
Seurat-VST	Overall	5000	0.6240429420558276	0.8026874118603188	0.030884221453566986
Seurat-VST	Overall	10000	0.6061545247384695	1.114482054884013	-0.5483337169305684
SpatialDE	Integration	100	0.6673330617966197	0.9480545355075993	0.7275779965922669
SpatialDE	Integration	200	0.6567879994181512	0.8269014656121992	0.3154967052478469
SpatialDE	Integration	500	0.6404146508462412	0.797308255627568	-0.12765144156974648
SpatialDE	Integration	1000	0.6342091844514747	0.4942849854506761	-0.03344442645975746
SpatialDE	Integration	2000	0.6284858359391785	0.653662008921634	0.23835267523463688
SpatialDE	Integration	5000	0.5904583912960488	0.91467092812645	-0.3601354968962702
SpatialDE	Integration	10000	0.5609963852495432	1.102634801675709	-0.7601960121489775
SpatialDE	Clustering	100	0.6324073634437428	1.0815061151955017	-0.3473180307993429
SpatialDE	Clustering	200	0.6577384162741461	0.6156243414636905	0.3138500709560757
SpatialDE	Clustering	500	0.6702576322970475	0.6434581623728597	0.7240174439437037
SpatialDE	Clustering	1000	0.6511279328644293	0.9067659648910044	0.3494805969315945
SpatialDE	Clustering	2000	0.6382733335149837	0.6636793446158874	0.16747323822937
SpatialDE	Clustering	5000	0.5985134167752388	0.8566644983281517	-0.5967561592109204
SpatialDE	Clustering	10000	0.6115291271716911	0.8688017511071315	-0.6107471600504812
SpatialDE	Alignment	100	0.8968454142987673	0.7076416127933264	-0.019978449984412817
SpatialDE	Alignment	200	0.913234513986862	0.2988624793336967	0.6887421180995044
SpatialDE	Alignment	500	0.9004152457027504	0.594173211098027	0.3345202105692811
SpatialDE	Alignment	1000	0.8898377441958262	0.16294588059988335	0.6281324240378717
SpatialDE	Alignment	2000	0.868821216500199	0.7231827361873607	0.6978039853902362
SpatialDE	Alignment	5000	0.7783651937598455	0.18680866388670814	-0.6528068866062318
SpatialDE	Alignment	10000	0.6645172476197575	0.44671005945751857	-1.6764134015062448
SpatialDE	Overall	100	0.6498702126201812	1.0577705233856307	0.011147800645506883
SpatialDE	Overall	200	0.6572632078461487	0.6430823716775506	0.3377914080464117
SpatialDE	Overall	500	0.6553361415716443	0.6410146939890232	0.5773939133118386
SpatialDE	Overall	1000	0.6426685586579519	0.5743564767136538	0.3650086114010749
SpatialDE	Overall	2000	0.6333795847270811	0.5789057133061929	0.35148280786853736
SpatialDE	Overall	5000	0.5944859040356438	1.0427014991594523	-0.5630642102986917
SpatialDE	Overall	10000	0.5862627562106172	0.6406255651321876	-1.0797603309746802
nnSVG	Integration	100	0.6801119694727209	1.071577906273109	0.7177463687957226
nnSVG	Integration	200	0.6705064414675018	0.7803718746486477	0.43269130107459064
nnSVG	Integration	500	0.6606911638891295	0.62032767475467	0.158655088754396
nnSVG	Integration	1000	0.650369013651889	0.6215813086139513	-0.03173558138187367
nnSVG	Integration	2000	0.6372307537261312	0.6466090707556184	0.1357414973147741
nnSVG	Integration	5000	0.5870547578782592	0.9957814470638859	-0.5831323090430179
nnSVG	Integration	10000	0.5725456068568745	0.7816304796612086	-0.829966365514585
nnSVG	Clustering	100	0.618141498033978	1.2588341783118857	-0.2507325048995766
nnSVG	Clustering	200	0.6460892636532815	0.8662941477413787	0.46088940723382976
nnSVG	Clustering	500	0.6360945406191597	0.7878012107735869	0.3293220902752986
nnSVG	Clustering	1000	0.6345088258387187	0.8549900236775341	0.1504736188101852
nnSVG	Clustering	2000	0.6192876025624925	0.7848874007033109	-0.006386018364691534
nnSVG	Clustering	5000	0.5987563231567176	0.8459337597226368	-0.25712252277811304
nnSVG	Clustering	10000	0.5998695637256731	0.8592976770780127	-0.4264440702769358
nnSVG	Alignment	100	0.8988630000602185	0.7375548369251916	0.23225162952591832
nnSVG	Alignment	200	0.8980005376450835	0.8118559459855262	0.1922383303991628
nnSVG	Alignment	500	0.902456781290555	0.47012840106713133	0.49919707395231117
